title,company,location,how_old,link
Analista de Concessão de Crédito - Analytics,Sicredi,"Home office in Porto Alegre, RS",Postedhá 19 dias,https://br.indeed.com/rc/clk?jk=d341608c3bdaa8ef&fccid=0bedb393cb03c383&vjs=3
Analista de Inteligência de Negócioss III,DM,"Home office in São José dos Campos, SP",Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=e99cf4aeb973a3e3&fccid=6e05be4b221befa5&vjs=3
Cientista de IA (ML e Python),Turing.com,Home office,Postedhá 30+ dias,https://br.indeed.com/company/Turing.com/jobs/Cientista-Ia-56980ab563f617f3?fccid=a2e0cbec0b626661&vjs=3
"Cientista de Dados (Python, JavaScript, MongoDB e R)",Turing.com,Home office,EmployerAtiva 17 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Cientista-Dados-86f4be0ddfce6f4b?fccid=a2e0cbec0b626661&vjs=3
Desenvolvedor (com Experiência Em Python) – Porto Alegre – RS,BuscarVagas,"Porto Alegre, RS",Postedhá 3 dias,https://br.indeed.com/rc/clk?jk=9d3c653a0d6b3640&fccid=73abce787a9b9ca5&vjs=3
Desenvolvedor(a) Python,Portobello,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b55481c0c9eebb23&fccid=449e31700e60a8c6&vjs=3
Desenvolvedor Python,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=db9cde55ed0611ac&fccid=141861a74ade1c07&vjs=3
Estagiário de Ciência de Dados,marketdata,"Home office in São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=de3d0716bc5a7275&fccid=ca2e77e50230049f&vjs=3
Estágio em Pesquisa e Desenvolvimento,Lenovo,"Jaguariúna, SP",PostedRecém publicada,https://br.indeed.com/rc/clk?jk=0bc1b9189b92440b&fccid=af103eaff391cdf0&vjs=3
Cyber Security Intern,Atlas Governance,Home office,Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=2007f5658e3c8bb0&fccid=6b24ff35a6d4705f&vjs=3
